uservip_degree,timepoint,content,opername,upcount
0,0,舍不得,时不我待,0
0,0,感觉是看着女儿出嫁的感觉,摩羯座仙女,0
0,0,洽哥！,。,0
0,0,畅姐说的真好,小叶,0
0,0,如,耀善,0
0,0,主持的很好又漂亮,腾讯网友,0
0,0,畅姐值得,小叶,0
0,0,不言你是金子最会发光的,腾讯网友,0
0,0,姐！,。,0
0,0,刘畅非人类啊,腾讯网友,0
0,0,易立竞长的像医生或老师,腾讯网友,0
0,0,下一季可以来个护士吗哈哈,拜托了星星,0
0,0,冯琛去了发展潜力最大的功能神经外科！棒！,徐嘻嘻🌸,0
0,0,没事不言哥哥我们宠你,摩羯座仙女,0
0,0,唉，觉得四个人好,。,0
0,0,张洽我真的会爱！,Anaïs🐈,0
0,0,也让更多去看病的人理解医生,。,0
0,0,人各有命,腾讯网友,0
0,0,规培不代表能留院，甚至没什么关系,MXinyee,0
0,0,最爱不言,腾讯网友,0
0,0,不言哥哥咱在历练历练没事,摩羯座仙女,0
0,0,真好的孩子们,小叶,0
0,0,冯琛好油,腾讯网友,0
0,0,zhuhe祝贺帅琛,小叶,0
0,0,超超有点像尤长进,腾讯网友,0
0,0,这些学生还没时间追剧吧,腾讯网友,0
0,0,不言可惜了,腾讯网友,0
0,0,易立竞长的的像医生,腾讯网友,0
0,0,金明忘记带😷了,薛航航,0
0,0,都是人才哪都可以去,腾讯网友,0
0,0,张洽好可爱,小叶,0
0,0,刘畅第一,摩羯座仙女,0
0,0,女外科医生比较少,腾讯网友,0
0,0,现在在哪规培能留院呐，希望张洽以后越来越好吧,MXinyee,0
0,0,还有时间看书,腾讯网友,0
0,0,严主任唠唠叨叨的,腾讯网友,0
0,0,高尚呢,𝒮𝓊𝓅ℯ𝓇𝓂𝒶𝓃,0
0,0,打卡,无极尊,0
0,0,超超这小V脸好小,腾讯网友,0
0,0,高尚加油,佡蒂蕾菈,0
0,0,刘畅不是正常人像个机器人,腾讯网友,0
0,0,张主任长的好像大雄,腾讯网友,0
0,0,下一季程序员！！,⚭,0
0,0,名师才出高徒,腾讯网友,0
0,0,如果我妈妈能遇到这么好的医生就好了,耀善,0
0,0,海泉每次乱冒皮皮,腾讯网友,0
0,0,王蕊呢,三大王🌱,0
0,0,汪同学越来越帅,小叶,0
0,0,喜欢不言这种傻傻的,腾讯网友,0
0,0,不言估计悬了,腾讯网友,0
0,0,会不会全员留,腾讯网友,0
0,0,冯油嘴滑舌的,腾讯网友,0
0,0,周深觉得幸好没当牙医,腾讯网友,0
0,0,超超好可爱,腾讯网友,0
0,0,刘畅这小嘴,腾讯网友,0
0,0,每一个都优秀,小叶,0
0,0,打卡,无极尊,0
0,0,最喜欢不言,腾讯网友,0
0,0,八字太强,腾讯网友,0
0,0,超超眼睛好好看,腾讯网友,0
0,0,什么呀啊我的眼泪,摩羯座仙女,0
0,0,冯琛,小叶,0
0,0,刘畅,小叶,0
0,0,严老师是剑神李淳罡吧,Shirley,0
0,0,这个节目以后他们会反复观看,摩羯座仙女,0
0,0,干啥都不容易,腾讯网友,0
0,0,高尚没得到吗,腾讯网友,0
0,0,除了高尚都帅,小叶,0
0,3,ll,小申很棒,0
0,5,南丁格鹅 : ll,小申很棒,0
0,5,ll,小申很棒,0
0,6,南丁格鹅 : ll,小申很棒,0
0,7,我来了,⁠⁢,0
0,8,最后一期呢,李さん,0
0,9,学霸鹅 :  深深！深哥我来辽,木渎实小周莉,1
0,10,畅畅的格局大,悟,0
0,11,南丁格鹅 : 来了来了,远辰,0
0,12,恰哥可以和毛毛学长要微信了,小林子,1
0,13,学霸鹅 :  深深要毕业了🎓,木渎实小周莉,1
0,13,最后一期了,琦琦,0
0,14,打卡,景虹13909317908,0
0,15,严主任说这段话眼眶都红了,mengna,1
0,16,啊啊啊，蔡徐坤,♚　　- 何谓,0
0,17,大结局了……好不舍,A.qizhengyuan,1
0,18,来了,海的那边,0
0,19,南丁格鹅 : 吼吼吼,寒冬暖阳,0
0,19,好不舍啊,沫忆,1
0,23,南丁格鹅 : 最后一期打卡！,雀,1
0,23,深深要毕业了🎓,DoV,0
0,25,还是大爱卢主任,别吃了,0
0,25,大结局了……好不舍,🍐🐟,0
0,25,大结局了……好不舍,小林子,0
0,26,跟着周深追到最后一集啦,韩冰,0
0,26,这季医学offer是历届最佳,Alone .,1
0,26,节目组答应我下一季还是医学生季好吗,雪轻旋,0
0,28,又来看一遍,阿源的火锅,0
0,28,舍不得啊,苦澀、淺愛傾傷了回憶,0
0,29,节目组答应我下一季还是医学生季好吗,🍐🐟,0
0,29,要结束了，有点舍不得55,花花,0
0,30,这几期浙二是组了团来录制了，哈哈哈哈,郭大慧🌨,0
0,30,和深深一起恭喜医学生们毕业啊,苏老夫人,0
0,31,看完半熟看offer看完offer看开端哈哈哈,钾钙钠镁铝,0
0,31,最后一期打卡！,(り石暁瘦,0
0,31,打卡一下，最后一期了,局外人,0
0,32,大结局呜呜呜,瑞萍儿,0
0,32,大结局了……好不舍,晓说,0
0,32,节目组答应我下一季还是医学生季好吗,沫忆,0
0,33,最后一期打卡！,strawberry,0
0,33,最后一期打卡！,东埬,0
0,34,南丁格鹅 : 第一个镜头 张洽好像易烊千玺啊,暮归,1
0,34,和深深一起恭喜医学生们毕业啊,甜橘汽水,0
0,34,V干活呢,远辰,0
0,34,节目组答应我下一季还是医学生季好吗,花开自在,0
0,36,最后一期打卡！,琛,0
0,38,南丁格鹅 : 哈哈哈哈哈,小鹿,0
0,38,打卡最后一期,琛,0
0,38,舍不得啊,怀瑾握瑜,0
