uservip_degree,timepoint,content,opername,upcount
6,0,也就是做节目，现实怎么可能这么回答,,0
6,0,大三考研？,,0
6,0,面试这么说？搞笑,,0
0,0,深深,,0
6,0,偏执,天楽,0
2,0,滴滴滴,神经蛙,0
0,0,有点邪,未来ちゃん,0
3,0,小姐姐是来找辩论点的吧,超聪明的我,0
0,0,哈哈哈哈哈可爱,Monsoon,0
0,0,看了医学篇来的,YJ,0
0,0,法律硕士就是专硕,YJ,0
4,0,曾经的我只看爆笑综艺 刚上大一 现在也被迫看起了哈,何往,0
0,0,这女生不行,YJ,0
0,0,公务员都在改革，我们国家需要那些真心为国家献策的人,Rita ,0
0,0,公务员多好啊，我也是,YJ,0
0,0,公务员多好,YJ,0
0,0,这回答太棒了,YJ,0
0,0,主要是法学考公务员太对口了,YJ,0
3,0,对的 杨天真的说法是对的,BAD_YO,0
0,0,我为什么跟着紧张😓,旧光影里的格子少年丶,0
3,0,危险危险危险⚠️,,0
0,0,打工伤吗,YJ,0
3,0,简历就是要一页,,0
0,0,民族大学。。。,YJ,0
0,0,她都不打算做律师,YJ,0
6,0,然后……,,0
0,0,做检察官多好,YJ,0
0,0,没有笔试吗,YJ,0
0,0,面相看着有点甲亢。,未来ちゃん,0
0,0,it去华为,..,0
0,0,钱也多哈哈哈,YJ,0
0,0,给我震惊哭了,‭‭‭,0
1,1,1,🤍,0
6,1,哈哈哈,,0
3,1,大家都是会员说话嚣张一点,,2
0,1,打卡,阿aaa,0
7,1,❤️,YYYYYYue,1
4,1,嗯,,0
3,1,哈哈,張,0
0,1,从offer1无缝衔接2,长意,0
6,1,东莞烦恼,,0
5,2,我的小,,0
0,2,1,Blue,0
0,2,纳,可爱多,0
5,2,天啊,,0
6,2,压,,0
6,3,e,,1
0,3,来了,吃口冰淇淋,0
7,3,终于出新一季了,,1
6,3,宝宝,,0
0,3,来啦,亦如初见,0
7,3,啦啦啦,武,0
6,4,来了 来了,W,2
2,4,哇咔咔 准备好了,,0
0,4,来重刷啦！,腾讯网友,0
2,4,我来看神仙打架,,0
0,4,哈哈哈,🐰,0
0,4,畅姐yyds,Giraffe,0
0,4,来了,Wiftol®🍒,0
0,5,冲砸,yuan.,0
6,5,牛啊,,0
6,5,共,,0
0,5,好看不,秦淮梦LIAN,0
0,5,来啦来啦,许嵩许嵩！！！演唱会！！,0
3,6,哈哈,張,0
5,6,66666,,1
6,6,打卡,,0
6,6,你好加油！,,2
0,6,哈哈哈[警告offer],是暴躁小于,0
7,6,哦,,0
4,6,啦啦啦,Lisa  meng,2
0,7,太卡了,,0
6,7,哈哈哈,,0
6,7,。。。。。。。。。。。,,1
0,8,第一个  打卡,奶橙布汀.,0
1,8,终于等到第二季了。,,1
4,8,来了啦啦了,,0
0,8,dd,love＆enjoy,1
0,8,第2季终于开播啦，来看双北，00，深深😜,YY9803,1
1,9,范丞丞啊啊啊啊,,0
3,9,啊啊啊啊期待终于又来了,,5
0,9,为了何老师而来。。,踏花归来，春暖花开,0
4,9,哈,,0
