uservip_degree,timepoint,content,opername,upcount
2,0,惊呆了,,4
4,0,真的哭了,,21
0,0,希望可以在这十年之内我一定要去和严浩翔见面！一定要,^^纯真縝淂渼「殤」,0
0,0,呼呼哈哈哈,^^纯真縝淂渼「殤」,0
1,0,梅粉丝别尬吹成吗,hey,1
3,0,好感动啊,,0
4,0,冰莹太帅了！临场应变和表达都好强！,七公子,91
3,0,十年后，我要成为受人尊敬且不惧医闹的好医生！,,226
0,0,十年后，要做一个对社会有用的人，赚很多很多钱,婉婉不吃鱼,0
0,0,论证投放过多车让小孩接触可能性大，很有全局观👍,暗香盈袖,0
1,0,夸邱晨就好好夸，暗戳戳的踩别人干什么,静静,5
1,0,第五期是我哭得最厉害的一期,,11
5,0,yjq yxy加油💪,,1
4,0,认清自己就是进步的前奏,,0
0,0,举个邻居私家自行车被盗的例子不就好了吗,等风来@@,0
0,0,打卡,一切就是☯最好的安排,0
0,0,可悲居然没有一个人想成为为弱势群体发言，都想赚大钱,Rita ,0
0,0,不用你感觉 律师的责任就是维护己方,两极,0
0,0,十年后 我要做一个像这么多优秀的哥哥姐姐一样的律师,^^纯真縝淂渼「殤」,0
4,1,[超越]来啦,,0
5,1,额额,,1
1,1,邓邓我来啦,犀牛🦏,4
5,1,来啦,,4
2,1,舍不得看啊啊啊啊啊啊啊,,12
6,1,哈哈,,0
6,1,打卡下班了吗？[厉害],,5
6,1,。,,0
4,2,我爱你们,,7
2,2,2019，很幸运能认识你们,,1
2,2,啊啊啊激动,,0
3,2,咦咦咦咦咦咦咦咦咦咦咦咦咦咦咦咦咦咦咦,,9
5,2,来了,🍒,1
6,3,77,,3
2,3,小何冲鸭！！！！！,,0
5,4,1,墨言,0
5,4,浩源，冲鸭！！！,,23
4,4,ooo,云曦,0
6,5,强,LiW,2
3,5,迟到的我，还没看就被剧透了,,8
3,5,薛俊杰,,0
4,5,结束了,苏若,8
5,5,7,,0
4,5,周振南,,4
3,5,来了来了,,1
1,6,大家赶快入股好运来，会好运一整年哟！,铭洋天下1314,19
1,6,来啦,,1
0,6,来啦来啦,80,0
1,6,何运晨,,6
3,6,周震南,A🎏 li,22
5,6,来了,,1
5,7,啦啦啦,,0
2,7,加油,,2
1,7,南南我来啦,,0
4,7,好喜欢这个不准时,,11
0,7,呜呜呜我来了,,13
0,8,来看浩源啦,,8
4,8,第二季什么时候啊？好喜欢这个节目，好喜欢他们啊,懵阳,1
3,8,完结撒花,Z,1
3,8,看到热搜了，都知道结局了，emmmm,,18
6,8,3,,0
2,9,舍不得,,3
6,9,最后一期了,,6
2,9,人生何处不相逢,,4
4,10,终于等到了,,3
6,10,气死我了，在微博提前知道了结果,,34
0,10,来看我三个老婆,火又叔叔（Home&You design）,6
6,10,加油,,0
3,11,来了,Sakura *,0
1,11,又来刷一遍,,8
5,11,大鹅果然不准时，我就喜欢你这不准时的亚子,,5
3,12,我来了,,1
1,12,走起走起，大结局 来了来了,非我,13
3,12,最后一集了，都舍不得看,,1
5,12,最后一期了舍不得,,1
1,13,何运晨，很高兴认识你。,立风哥哥请吃糖yu,0
3,13,过最冷的冬❄️遇最暖的人💏,,4
4,13, 祝大家2020年新年快乐,,6
6,13,赶紧来打卡啦,,6
2,13,最后一期不许喷人,FQ.学,6
3,14,VIP :Omg 我一点进来就完整版了，开心,,5
3,14,被剧透的我来了,,0
2,14,最后一集了，都舍不得看,Sloth 🌟,2
4,14,Omg 我一点进来就完整版了，开心,,9
3,15,祝大家新的一年都能拿到心动的offer,,1
0,15,十年后，我要成为受人尊敬且不惧医闹的好医生！,林荼,0
2,15,南宝。最后一期了,,0
4,15,就喜欢你们的不准时,Sundy-L-,0
3,15,哈哈哈哈好喜欢不准时啊,,0
1,15,来啦来啦！！,皮皮虾我们走,0
2,15,来了来了，终于来了,,0
3,15,来啦来啦,,0
3,15,屏幕前的小老弟们，新年快乐呀,,0
3,16,医学,,1
3,16,周震南震四方南极星永不荒,,7
1,16,啊啊啊,满目山河.（Lucille.）,0
1,16,都是会员说话嚣张点,,1
6,16,一直 一直不敢看最后 一直不敢看最后一期,,1
4,16,来了,,0
4,17,我是一只想成为像李浩源这样的菜鸟,,27
3,17,祝大家新的一年“好运来”,,1
3,17,何运晨，很高兴认识你。,,0
0,17,我已经被微博剧透了TWT,,0
5,17,好讨厌热搜给剧透了,,2
5,17,来晚啦,,0
3,17,好舍不得 最后一集了,,0
3,18,终于等到你,,3
2,18,最后一期了，，，，，,ₓ墨,0
