uservip_degree,timepoint,content,opername,upcount
0,0,这真的没办法。,莫等待,0
0,0,怎么变成他们欺负人了,桃桃子,0
0,0,梁律其实人还挺好的,诗羽,0
0,0,没人能从史律的房间里空着手出来,缘来是你,0
1,0,第一,,7
1,0,京东我耳朵都出茧了,苯,0
1,0,女儿这么善良 妈怎么这样啊,,0
6,0,大家都熟悉了 可以开玩笑了,冷以卉,0
4,0,提前开始了，我前面有几位。,,1
1,0,我也心疼南希,,0
1,0,去法院吧,,0
0,0,大家都很好呀；自己ky太过了吧,桃桃子,0
4,0,别提无偿了，都是工作就该拿出专业态度,ff,1
4,0,律所没收钱不是律师没收钱，领工资就该认真工作,ff,0
6,0,好棒,冷以卉,0
0,0,这妈妈以前对养女也不好吧,某某某.,0
0,0,才10万少了,Lei,0
0,0,反正我是不会提前交几万租房的,莫等待,0
1,0,《北大还行》,,0
0,0,主动要钱也不对,yss,0
4,0,开心,,9
0,0,我好喜欢煜成啊啊啊啊啊,可加盐,0
0,0,哇,YJ,0
5,0,沙发,,4
2,0,好喜欢王姐阿啊阿耿直boy,,0
3,0,来啦,,0
4,0,就喜欢不准时,空年,2
5,0,为什么每次都没有秋怡呢？,,0
1,0,过分善良了,,0
0,0,说了相当于2300 再加上2000 一共4600,莫等待,0
1,0,爱死骁骁子,,0
0,0,哪找什么调节，受益第三方,南风知君意兮,0
0,0,这怎么看查封啊……,可加盐,0
1,0,救命,Rrrrrrrrr,0
6,0,王适合大案子,冷以卉,0
1,0,好家伙,,0
1,0,第一次不battle,,0
5,0,哇提前了,,0
4,0,妹子说的对，我也觉得王没有在为委托人争取,ff,0
0,0,法律就是这样啊,Reborn,0
0,0,十万 分期,莫等待,0
1,0,爱死辉哥咯,,0
6,0,王晓适合大公司的案子,冷以卉,0
1,0,不是因为早餐吧 早餐只是一棵稻草,,0
0,0,我觉得妈妈应该跟女儿道歉，这样会容易解决一点,Daenerys.,0
1,0,他之前被斯坦福封印了,,0
1,0,nancy,,0
0,0,是剪辑吧,夏天一颗柚子,0
1,0,救命啊我太喜欢骁骁了,,0
6,0,王骁适合大案子 而不是家长里短的,冷以卉,0
1,0,不是我们骁的问题啊,,0
1,0,她很好看啊 就是发型不行,,0
0,0,两个实习生说话轻声细语真好,『微☆凉』,0
0,0,一次性茶杯,莫等待,0
1,0,这两个人好配啊,,0
6,0,第五,HARRIS,1
2,0,王姐讲话好直,,0
4,0,来咯,,10
0,0,没办法，现在很多二房东,莫等待,0
1,0,爱上南希了,,0
0,0,天呐在嘉定，这得多辛苦啊过去…,可加盐,0
5,0,来了来了,,2
1,0,这个律师太厉害了,,0
4,0,房东自己也找了黑中介呀,ff,0
0,1,ttgggghhhhh哥哥哈哈哈,小饕餮,5
6,1,了,,0
6,1,打卡,顾,3
0,1,打卡,阿aaa,0
4,1,来来,,2
0,2,第一第一,,0
4,2,1,某在斯,1
7,2,小鱼,,1
1,3,周深，我来了！,倾杯序,14
5,3,来了，老弟,,16
7,3,前方高能预警,,3
8,3,❤️,YYYYYYue,0
7,4,冲呀,2020,3
5,4,噢哦,,0
1,4,来了,swag,3
5,4,一,吉力,3
3,4,第一？？？第一？？ 第一？？？第一？？,,30
5,5,终于来了,,8
6,5,1,正,1
6,5,哈哈,,3
6,5,太机智,范范,1
6,5,来,,1
5,5,打卡,,0
7,5,666,,0
4,6,真的准时,小丑面具,3
5,6,1111111111111,,9
1,6,冲冲冲！！！,ChengZi✔ ✘,5
0,6,wll,波士顿晚报,0
4,6,哦,,0
3,6,第一,,0
0,6,王骁我爱你,wink,1
3,6,Diyi,,1
1,6,来啦,森碗,1
5,6,冲啊,,1
2,6,第一哈哈哈,陈婉颜,3
1,7,来了,,1
6,7,第一个，😂😂😂😂😂,玖夏,5
4,7,都是VIP高调一点,,3
7,7,呃,,0
7,7,你好,,0
1,7,来了、,。,0
1,7,1111,,10
2,7,11111111111111111,,3
8,7,，，,,0
0,8,嗷呜,梨梨,0
4,8,来了,,0
4,8,来了来了,,2
3,8,不准时哦,A？,9
3,8,第一！,,4
5,8,老王,,0
3,8,沙发,,1
2,8,很好很好很好,陈婉颜,0
5,8,太不准时了哈哈哈哈哈哈,,6
2,8,粥森,,1
4,9,主动来受虐!,想太多de猫,9
5,9,一,jiujiu沫.,0
7,9,周深，我来了！,,0
3,9,早,,1
0,9,第一？？？第一？？ 第一？？？第一？？,,0
1,9,第一,,4
1,9,50分就开始了，真棒,LAN。,11
1,9,来了！！,wkx翁,2
3,9,前排,小吴。,0
4,10,第一次这么前,,11
4,10,第一第一王颖飞妈妈来了,,1
1,10,第一第一第一,,5
3,10,11111,,0
4,10,来咯,,1
5,10,第一,,8
5,10,深深我来啦,,0
3,10,1,,0
1,11,王姐来了,你喜欢那样,3
1,11,来啦,,0
3,11,深深,星星叻,1
5,11,深深深深深深深深,,1
4,11,来啦,,0
1,11,喜欢不准时啊,Ru,6
4,11,终于来了,,0
1,11,时长爱了,,1
5,11,前排。,,7
4,11,为了弹幕重新看一遍,,0
6,12, 不准时哦,,0
1,12,第一,,0
3,12,第三第三,🥝,7
5,12,好准时, ,2
1,12,前排,语先生,1
4,12,来啦来啦,,1
4,12,来了,,2
5,12,早安,,0
2,12,来了来了,Tonze,7
1,12,前排！,,1
1,13,最好的晔晔子,,5
3,13,丞丞我来了,,7
